"tematica";"subtema";"indicador";"ri";"localidade";"categoria";"ano";"valor";"variacao_abs";"variacao_pct"
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2011;25285;228;0,91
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2012;25506;221;0,87
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2013;25899;393;1,54
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2014;26105;206;0,8
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2015;26305;200;0,77
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2016;26497;192;0,73
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2017;26682;185;0,7
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2018;27241;559;2,1
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2019;27430;189;0,69
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2020;27615;185;0,67
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2021;27797;182;0,66
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2022;18080;-9717;-34,96
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2023;18546;466;2,58
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2024;17960;-586;-3,16
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Araguaia";"Água Azul do Norte";"-";2025;17596;-364;-2,03
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2009;57067;0;0
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2010;52626;-4441;-7,78
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2011;53004;378;0,72
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2012;53369;365;0,69
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2013;54035;666;1,25
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2014;54353;318;0,59
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2015;54662;309;0,57
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2016;54960;298;0,55
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2017;55246;286;0,52
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2018;56480;1234;2,23
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2019;56789;309;0,55
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2020;57092;303;0,53
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2021;57390;298;0,52
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2022;69377;11987;20,89
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2023;73171;3794;5,47
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2024;74836;1665;2,28
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Alenquer";"-";2025;75882;1046;1,4
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2009;31192;0;0
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2010;33614;2422;7,76
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2011;33588;-26;-0,08
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2012;33563;-25;-0,07
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2013;33562;-1;0
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2014;33466;-96;-0,29
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2015;33372;-94;-0,28
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2016;33282;-90;-0,27
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2017;33195;-87;-0,26
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2018;34142;947;2,85
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2019;34109;-33;-0,1
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2020;34076;-33;-0,1
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2021;34044;-32;-0,09
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2022;34280;236;0,69
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2023;36343;2063;6,02
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2024;36334;-9;-0,02
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Baixo Amazonas";"Almeirim";"-";2025;36442;108;0,3
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Xingu";"Altamira";"-";2009;98750;0;0
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Xingu";"Altamira";"-";2010;99075;325;0,33
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Xingu";"Altamira";"-";2011;100736;1661;1,68
"Demografia";"-";"População Total do Pará e municípios - Estimativas Populacionais e Censo Deográfico";"Xingu";"Altamira";"-";2012;102343;1607;1,6
